Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Brekke I Sogn;SN52930;13.12.1939;0
Brekke I Sogn;SN52930;14.12.1939;0
Brekke I Sogn;SN52930;15.12.1939;0
Brekke I Sogn;SN52930;16.12.1939;0
Brekke I Sogn;SN52930;17.12.1939;1,3
Brekke I Sogn;SN52930;18.12.1939;18,9
Brekke I Sogn;SN52930;19.12.1939;22,1
Brekke I Sogn;SN52930;20.12.1939;10,4
Brekke I Sogn;SN52930;21.12.1939;9,1
Brekke I Sogn;SN52930;22.12.1939;49,9
Brekke I Sogn;SN52930;23.12.1939;30,5
Brekke I Sogn;SN52930;24.12.1939;20,1
Brekke I Sogn;SN52930;25.12.1939;5,9
Brekke I Sogn;SN52930;26.12.1939;0
Brekke I Sogn;SN52930;27.12.1939;0
Brekke I Sogn;SN52930;28.12.1939;5,1
Brekke I Sogn;SN52930;29.12.1939;0
Brekke I Sogn;SN52930;30.12.1939;24,7
Brekke I Sogn;SN52930;31.12.1939;0
Brekke I Sogn;SN52930;01.01.1940;20,8
Brekke I Sogn;SN52930;02.01.1940;17,2
Brekke I Sogn;SN52930;03.01.1940;0
Brekke I Sogn;SN52930;04.01.1940;5,3
Brekke I Sogn;SN52930;05.01.1940;4,6
Brekke I Sogn;SN52930;06.01.1940;1,6
Brekke I Sogn;SN52930;07.01.1940;0
Brekke I Sogn;SN52930;08.01.1940;0
Brekke I Sogn;SN52930;09.01.1940;0
Brekke I Sogn;SN52930;10.01.1940;0
Brekke I Sogn;SN52930;11.01.1940;0
Brekke I Sogn;SN52930;12.01.1940;4,7
Brekke I Sogn;SN52930;13.01.1940;10,5
Brekke I Sogn;SN52930;14.01.1940;12,7
Brekke I Sogn;SN52930;15.01.1940;17,8
Brekke I Sogn;SN52930;16.01.1940;0,3
Brekke I Sogn;SN52930;17.01.1940;7,5
Brekke I Sogn;SN52930;18.01.1940;2,2
Brekke I Sogn;SN52930;19.01.1940;0
Brekke I Sogn;SN52930;20.01.1940;12,2
Brekke I Sogn;SN52930;21.01.1940;0
Brekke I Sogn;SN52930;22.01.1940;0
Brekke I Sogn;SN52930;23.01.1940;0
Brekke I Sogn;SN52930;24.01.1940;0
Brekke I Sogn;SN52930;25.01.1940;0
Brekke I Sogn;SN52930;26.01.1940;0
Brekke I Sogn;SN52930;27.01.1940;0
Brekke I Sogn;SN52930;28.01.1940;0
Brekke I Sogn;SN52930;29.01.1940;0
Brekke I Sogn;SN52930;30.01.1940;0
Brekke I Sogn;SN52930;31.01.1940;0
Brekke I Sogn;SN52930;01.02.1940;0
Brekke I Sogn;SN52930;02.02.1940;0
Brekke I Sogn;SN52930;03.02.1940;0
Brekke I Sogn;SN52930;04.02.1940;0
Brekke I Sogn;SN52930;05.02.1940;0
Brekke I Sogn;SN52930;06.02.1940;0
Brekke I Sogn;SN52930;07.02.1940;0
Brekke I Sogn;SN52930;08.02.1940;0
Brekke I Sogn;SN52930;09.02.1940;0
Brekke I Sogn;SN52930;10.02.1940;3,7
Brekke I Sogn;SN52930;11.02.1940;0
Brekke I Sogn;SN52930;12.02.1940;0
Brekke I Sogn;SN52930;13.02.1940;0
Brekke I Sogn;SN52930;14.02.1940;0
Brekke I Sogn;SN52930;15.02.1940;1,1
Brekke I Sogn;SN52930;16.02.1940;0
Brekke I Sogn;SN52930;17.02.1940;6,1
Brekke I Sogn;SN52930;18.02.1940;7,2
Brekke I Sogn;SN52930;19.02.1940;0
Brekke I Sogn;SN52930;20.02.1940;19,2
Brekke I Sogn;SN52930;21.02.1940;18,7
Brekke I Sogn;SN52930;22.02.1940;16,5
Brekke I Sogn;SN52930;23.02.1940;11,4
Brekke I Sogn;SN52930;24.02.1940;40,9
Brekke I Sogn;SN52930;25.02.1940;0
Brekke I Sogn;SN52930;26.02.1940;3
Brekke I Sogn;SN52930;27.02.1940;3,5
Brekke I Sogn;SN52930;28.02.1940;35,1
Brekke I Sogn;SN52930;29.02.1940;0
Brekke I Sogn;SN52930;01.03.1940;3,7
Brekke I Sogn;SN52930;02.03.1940;30,1
Brekke I Sogn;SN52930;03.03.1940;42,2
Brekke I Sogn;SN52930;04.03.1940;29,8
Brekke I Sogn;SN52930;05.03.1940;2,1
Brekke I Sogn;SN52930;06.03.1940;0
Brekke I Sogn;SN52930;07.03.1940;0
Brekke I Sogn;SN52930;08.03.1940;0
Brekke I Sogn;SN52930;09.03.1940;19,7
Brekke I Sogn;SN52930;10.03.1940;11,9
Brekke I Sogn;SN52930;11.03.1940;29,7
Brekke I Sogn;SN52930;12.03.1940;13,9
Brekke I Sogn;SN52930;13.03.1940;0
Brekke I Sogn;SN52930;14.03.1940;0
Brekke I Sogn;SN52930;15.03.1940;0
Brekke I Sogn;SN52930;16.03.1940;0
Brekke I Sogn;SN52930;17.03.1940;0
Brekke I Sogn;SN52930;18.03.1940;0
Brekke I Sogn;SN52930;19.03.1940;1,5
Brekke I Sogn;SN52930;20.03.1940;0
Brekke I Sogn;SN52930;21.03.1940;0
Brekke I Sogn;SN52930;22.03.1940;0
Brekke I Sogn;SN52930;23.03.1940;0
Brekke I Sogn;SN52930;24.03.1940;0
Brekke I Sogn;SN52930;25.03.1940;0
Brekke I Sogn;SN52930;26.03.1940;0
Brekke I Sogn;SN52930;27.03.1940;0,3
Brekke I Sogn;SN52930;28.03.1940;2,1
Brekke I Sogn;SN52930;29.03.1940;0
Brekke I Sogn;SN52930;30.03.1940;0
Brekke I Sogn;SN52930;31.03.1940;0,5
Brekke I Sogn;SN52930;01.04.1940;37,3
Brekke I Sogn;SN52930;02.04.1940;7,8
Brekke I Sogn;SN52930;03.04.1940;15,7
Brekke I Sogn;SN52930;04.04.1940;0
Brekke I Sogn;SN52930;05.04.1940;0
Brekke I Sogn;SN52930;06.04.1940;0
Brekke I Sogn;SN52930;07.04.1940;27,1
Brekke I Sogn;SN52930;08.04.1940;36,2
